w0,w1,n,mle
sleeping,heavily,1,1.0067755997865636e-05
sleeping,in,1,1.0067755997865636e-05
sleeping,on,1,1.0067755997865636e-05
sleeping,quietly,1,1.0067755997865636e-05
sleeping,so,1,1.0067755997865636e-05
sleepy,</s>,2,2.0135511995731273e-05
sleepy,for,1,1.0067755997865636e-05
sleepy,i,1,1.0067755997865636e-05
sleepy,now,1,1.0067755997865636e-05
sleepy,so,1,1.0067755997865636e-05
sleepy,that,1,1.0067755997865636e-05
sleeve,the,1,1.0067755997865636e-05
sleeveless,evening,1,1.0067755997865636e-05
sleeves,eating,1,1.0067755997865636e-05
sleeves,got,1,1.0067755997865636e-05
slept,</s>,1,1.0067755997865636e-05
slept,in,1,1.0067755997865636e-05
slept,like,1,1.0067755997865636e-05
slept,on,1,1.0067755997865636e-05
slept,with,3,3.0203267993596907e-05
sliced,cucumbers,1,1.0067755997865636e-05
slid,out,1,1.0067755997865636e-05
slipover,jersey,1,1.0067755997865636e-05
slipped,and,1,1.0067755997865636e-05
slipped,him,1,1.0067755997865636e-05
slippered,foot,1,1.0067755997865636e-05
slippers,and,1,1.0067755997865636e-05
slippers,sitting,1,1.0067755997865636e-05
slit,them,1,1.0067755997865636e-05
slope,of,1,1.0067755997865636e-05
sloped,down,1,1.0067755997865636e-05
sloshed,myself,1,1.0067755997865636e-05
slow,</s>,1,1.0067755997865636e-05
slow,and,1,1.0067755997865636e-05
slow,on,1,1.0067755997865636e-05
slow,rollers,1,1.0067755997865636e-05
slow,smoothly,1,1.0067755997865636e-05
slow,templed,1,1.0067755997865636e-05
slow,train,1,1.0067755997865636e-05
slow,up,1,1.0067755997865636e-05
slowed,suddenly,1,1.0067755997865636e-05
slowed,up,1,1.0067755997865636e-05
slowly,</s>,1,1.0067755997865636e-05
slowly,and,3,3.0203267993596907e-05
slowly,as,1,1.0067755997865636e-05
slowly,it,1,1.0067755997865636e-05
slowly,sitting,1,1.0067755997865636e-05
slowly,sure,1,1.0067755997865636e-05
slowly,then,1,1.0067755997865636e-05
slowly,up,1,1.0067755997865636e-05
slung,on,1,1.0067755997865636e-05
slung,over,1,1.0067755997865636e-05
slurred,that,1,1.0067755997865636e-05
small,</s>,3,3.0203267993596907e-05
small,heavy,1,1.0067755997865636e-05
small,manageable,1,1.0067755997865636e-05
small,of,4,4.0271023991462545e-05
small,room,2,2.0135511995731273e-05
small,tough,1,1.0067755997865636e-05
smaller,</s>,1,1.0067755997865636e-05
smaller,hotel,1,1.0067755997865636e-05
smallest,</s>,1,1.0067755997865636e-05
smashed,and,1,1.0067755997865636e-05
smell,and,1,1.0067755997865636e-05
smell,of,1,1.0067755997865636e-05
smelled,like,1,1.0067755997865636e-05
smelled,of,1,1.0067755997865636e-05
smelt,of,2,2.0135511995731273e-05
smile,</s>,5,5.0338779989328176e-05
smile,and,2,2.0135511995731273e-05
smile,at,1,1.0067755997865636e-05
smile,that,2,2.0135511995731273e-05
smile,when,1,1.0067755997865636e-05
smiled,</s>,13,0.00013088082797225325
smiled,again,2,2.0135511995731273e-05
smiled,and,4,4.0271023991462545e-05
smiled,anxious,1,1.0067755997865636e-05
smiled,as,3,3.0203267993596907e-05
smiled,at,10,0.00010067755997865635
smiled,his,4,4.0271023991462545e-05
smiled,out,1,1.0067755997865636e-05
smiled,that,1,1.0067755997865636e-05
smiling,</s>,3,3.0203267993596907e-05
smiling,at,3,3.0203267993596907e-05
smiling,brightly,1,1.0067755997865636e-05
smiling,her,1,1.0067755997865636e-05
smiling,in,1,1.0067755997865636e-05
smiling,now,1,1.0067755997865636e-05
smock,and,1,1.0067755997865636e-05
smock,like,1,1.0067755997865636e-05
smocks,</s>,1,1.0067755997865636e-05
smocks,and,1,1.0067755997865636e-05
smoke,</s>,1,1.0067755997865636e-05
smoke,and,1,1.0067755997865636e-05
smoke,appeared,1,1.0067755997865636e-05
smoke,cigars,1,1.0067755997865636e-05
smoke,dont,1,1.0067755997865636e-05
smoke,high,1,1.0067755997865636e-05
smoke,hung,1,1.0067755997865636e-05
smoke,in,1,1.0067755997865636e-05
smoked,a,1,1.0067755997865636e-05
smoked,and,2,2.0135511995731273e-05
smoking,</s>,1,1.0067755997865636e-05
smoking,a,4,4.0271023991462545e-05
smoking,cigars,1,1.0067755997865636e-05
smoking,his,1,1.0067755997865636e-05
smoky,and,1,1.0067755997865636e-05
smoky,looking,1,1.0067755997865636e-05
smooth,</s>,3,3.0203267993596907e-05
smooth,amontillado,1,1.0067755997865636e-05
smooth,and,3,3.0203267993596907e-05
smooth,apron,1,1.0067755997865636e-05
smooth,grass,1,1.0067755997865636e-05
smooth,him,1,1.0067755997865636e-05
smooth,narrow,1,1.0067755997865636e-05
smooth,rolled,2,2.0135511995731273e-05
smooth,sand,2,2.0135511995731273e-05
smooth,street,1,1.0067755997865636e-05
smooth,waves,1,1.0067755997865636e-05
smoothed,her,1,1.0067755997865636e-05
smoothly,across,1,1.0067755997865636e-05
smoothly,and,3,3.0203267993596907e-05
smoothly,calmly,1,1.0067755997865636e-05
smoothly,down,1,1.0067755997865636e-05
smoothly,going,1,1.0067755997865636e-05
smoothly,heavy,1,1.0067755997865636e-05
smoothly,on,1,1.0067755997865636e-05
smoothly,rolling,1,1.0067755997865636e-05
smoothly,stiff,1,1.0067755997865636e-05
smoothly,worn,1,1.0067755997865636e-05
smuggling,</s>,1,1.0067755997865636e-05
snapper,</s>,1,1.0067755997865636e-05
snappers,all,1,1.0067755997865636e-05
snatched,the,1,1.0067755997865636e-05
sneers,shouted,1,1.0067755997865636e-05
snooty,</s>,1,1.0067755997865636e-05
snooty,to,1,1.0067755997865636e-05
snotty,to,1,1.0067755997865636e-05
snotty,when,1,1.0067755997865636e-05
so,</s>,23,0.00023155838795090963
so,about,1,1.0067755997865636e-05
so,and,1,1.0067755997865636e-05
so,awful,2,2.0135511995731273e-05
so,bad,1,1.0067755997865636e-05
so,badly,1,1.0067755997865636e-05
so,big,1,1.0067755997865636e-05
so,bloody,1,1.0067755997865636e-05
so,brought,1,1.0067755997865636e-05
so,busy,1,1.0067755997865636e-05
so,childish,1,1.0067755997865636e-05
so,close,4,4.0271023991462545e-05
so,cold,2,2.0135511995731273e-05
so,controlled,1,1.0067755997865636e-05
so,crowded,1,1.0067755997865636e-05
so,damn,1,1.0067755997865636e-05
so,damned,2,2.0135511995731273e-05
so,did,1,1.0067755997865636e-05
so,do,2,2.0135511995731273e-05
so,dumb,1,1.0067755997865636e-05
so,early,2,2.0135511995731273e-05
so,easy,1,1.0067755997865636e-05
so,extraordinarily,1,1.0067755997865636e-05
so,far,2,2.0135511995731273e-05
so,fast,1,1.0067755997865636e-05
so,fond,1,1.0067755997865636e-05
so,gentille,1,1.0067755997865636e-05
so,glad,1,1.0067755997865636e-05
so,good,8,8.054204798292509e-05
so,he,9,9.060980398079073e-05
so,i,25,0.0002516938999466409
so,it,1,1.0067755997865636e-05
so,jake,2,2.0135511995731273e-05
so,like,1,1.0067755997865636e-05
so,long,11,0.00011074531597652199
so,lovely,1,1.0067755997865636e-05
so,many,4,4.0271023991462545e-05
so,miserable,2,2.0135511995731273e-05
so,much,8,8.054204798292509e-05
so,naturally,1,1.0067755997865636e-05
so,nervy,1,1.0067755997865636e-05
so,nice,2,2.0135511995731273e-05
so,noisy,1,1.0067755997865636e-05
so,now,2,2.0135511995731273e-05
so,offended,1,1.0067755997865636e-05
so,often,1,1.0067755997865636e-05
so,pleasant,1,1.0067755997865636e-05
so,proud,1,1.0067755997865636e-05
so,recently,1,1.0067755997865636e-05
so,robert,1,1.0067755997865636e-05
so,set,1,1.0067755997865636e-05
so,she,1,1.0067755997865636e-05
so,sick,2,2.0135511995731273e-05
so,simple,4,4.0271023991462545e-05
so,sir,1,1.0067755997865636e-05
so,sleepy,1,1.0067755997865636e-05
so,slow,1,1.0067755997865636e-05
so,sore,1,1.0067755997865636e-05
so,sorry,1,1.0067755997865636e-05
so,strong,1,1.0067755997865636e-05
so,stupid,1,1.0067755997865636e-05
so,sudden,2,2.0135511995731273e-05
so,suddenly,1,1.0067755997865636e-05
so,sure,2,2.0135511995731273e-05
so,terribly,2,2.0135511995731273e-05
so,that,10,0.00010067755997865635
so,thats,2,2.0135511995731273e-05
so,the,10,0.00010067755997865635
so,there,1,1.0067755997865636e-05
so,they,3,3.0203267993596907e-05
so,thick,1,1.0067755997865636e-05
so,tight,3,3.0203267993596907e-05
so,was,6,6.0406535987193814e-05
so,we,7,7.047429198505945e-05
so,well,4,4.0271023991462545e-05
so,when,1,1.0067755997865636e-05
so,whichever,1,1.0067755997865636e-05
so,you,3,3.0203267993596907e-05
soaked,through,1,1.0067755997865636e-05
sober,</s>,1,1.0067755997865636e-05
sober,i,2,2.0135511995731273e-05
sobered,up,1,1.0067755997865636e-05
sobrepuertos,seats,1,1.0067755997865636e-05
social,graces,1,1.0067755997865636e-05
social,service,1,1.0067755997865636e-05
societies,of,1,1.0067755997865636e-05
society,</s>,1,1.0067755997865636e-05
society,of,1,1.0067755997865636e-05
sod,</s>,1,1.0067755997865636e-05
sod,and,1,1.0067755997865636e-05
soda,</s>,6,6.0406535987193814e-05
soda,and,1,1.0067755997865636e-05
soda,i,1,1.0067755997865636e-05
soft,boiled,1,1.0067755997865636e-05
softly,</s>,1,1.0067755997865636e-05
softly,and,1,1.0067755997865636e-05
soil,</s>,1,1.0067755997865636e-05
sol,and,1,1.0067755997865636e-05
sol,sol,1,1.0067755997865636e-05
sol,y,1,1.0067755997865636e-05
sold,</s>,1,1.0067755997865636e-05
sold,in,1,1.0067755997865636e-05
sold,the,1,1.0067755997865636e-05
soldier,</s>,2,2.0135511995731273e-05
soldier,brett,1,1.0067755997865636e-05
soldier,had,1,1.0067755997865636e-05
soldiering,</s>,1,1.0067755997865636e-05
soldiers,the,1,1.0067755997865636e-05
sole,editor,1,1.0067755997865636e-05
soled,shoes,2,2.0135511995731273e-05
solemnly,to,1,1.0067755997865636e-05
solid,and,1,1.0067755997865636e-05
solid,taxi,1,1.0067755997865636e-05
solid,with,3,3.0203267993596907e-05
solidly,</s>,1,1.0067755997865636e-05
sombra,and,1,1.0067755997865636e-05
sombra,were,1,1.0067755997865636e-05
some,</s>,1,1.0067755997865636e-05
some,about,1,1.0067755997865636e-05
some,alcohol,1,1.0067755997865636e-05
some,apple,1,1.0067755997865636e-05
some,ash,1,1.0067755997865636e-05
some,association,1,1.0067755997865636e-05
some,bad,1,1.0067755997865636e-05
some,beer,2,2.0135511995731273e-05
some,bootblacks,1,1.0067755997865636e-05
some,bridge,1,1.0067755997865636e-05
some,buildings,1,1.0067755997865636e-05
some,bull,1,1.0067755997865636e-05
some,buttered,1,1.0067755997865636e-05
some,cables,2,2.0135511995731273e-05
some,carts,1,1.0067755997865636e-05
some,chap,2,2.0135511995731273e-05
some,clothes,2,2.0135511995731273e-05
some,club,1,1.0067755997865636e-05
some,crack,1,1.0067755997865636e-05
some,dancers,1,1.0067755997865636e-05
some,darbs,1,1.0067755997865636e-05
some,date,1,1.0067755997865636e-05
some,day,4,4.0271023991462545e-05
some,days,1,1.0067755997865636e-05
some,encierro,2,2.0135511995731273e-05
some,english,1,1.0067755997865636e-05
some,errand,1,1.0067755997865636e-05
some,extra,1,1.0067755997865636e-05
some,fell,1,1.0067755997865636e-05
some,ferns,1,1.0067755997865636e-05
some,fine,1,1.0067755997865636e-05
some,fishing,2,2.0135511995731273e-05
some,fixed,1,1.0067755997865636e-05
some,flies,1,1.0067755997865636e-05
some,friends,1,1.0067755997865636e-05
some,funny,1,1.0067755997865636e-05
some,golf,1,1.0067755997865636e-05
some,gypsies,1,1.0067755997865636e-05
some,hard,1,1.0067755997865636e-05
some,in,3,3.0203267993596907e-05
some,jokes,1,1.0067755997865636e-05
some,letters,3,3.0203267993596907e-05
some,lovely,1,1.0067755997865636e-05
some,medals,2,2.0135511995731273e-05
some,money,1,1.0067755997865636e-05
some,more,8,8.054204798292509e-05
some,new,1,1.0067755997865636e-05
some,night,1,1.0067755997865636e-05
some,of,13,0.00013088082797225325
some,one,22,0.00022149063195304398
some,onto,1,1.0067755997865636e-05
some,papers,2,2.0135511995731273e-05
some,people,5,5.0338779989328176e-05
some,pretty,1,1.0067755997865636e-05
some,rather,2,2.0135511995731273e-05
some,remark,1,1.0067755997865636e-05
some,reservations,1,1.0067755997865636e-05
some,sandwiches,1,1.0067755997865636e-05
some,sleep,2,2.0135511995731273e-05
some,sort,4,4.0271023991462545e-05
some,soup,1,1.0067755997865636e-05
some,spanish,1,1.0067755997865636e-05
some,stragglers,1,1.0067755997865636e-05
some,strange,1,1.0067755997865636e-05
some,supper,1,1.0067755997865636e-05
some,things,1,1.0067755997865636e-05
some,time,8,8.054204798292509e-05
some,times,1,1.0067755997865636e-05
some,trees,2,2.0135511995731273e-05
some,water,1,1.0067755997865636e-05
some,way,1,1.0067755997865636e-05
some,will,1,1.0067755997865636e-05
some,wine,1,1.0067755997865636e-05
some,wonderful,1,1.0067755997865636e-05
some,worms,1,1.0067755997865636e-05
somebody,</s>,2,2.0135511995731273e-05
somebody,and,1,1.0067755997865636e-05
somebody,chic,1,1.0067755997865636e-05
somebody,inside,1,1.0067755997865636e-05
somebody,kicked,1,1.0067755997865636e-05
somebody,named,1,1.0067755997865636e-05
somebody,the,1,1.0067755997865636e-05
somebody,took,1,1.0067755997865636e-05
somebody,verify,1,1.0067755997865636e-05
somebody,was,1,1.0067755997865636e-05
somebody,will,1,1.0067755997865636e-05
somebodys,shoulder,1,1.0067755997865636e-05
somehow,he,1,1.0067755997865636e-05
somehow,i,1,1.0067755997865636e-05
somehow,it,1,1.0067755997865636e-05
somehow,they,1,1.0067755997865636e-05
something,</s>,17,0.0001711518519637158
something,about,3,3.0203267993596907e-05
something,altogether,1,1.0067755997865636e-05
something,and,1,1.0067755997865636e-05
something,as,1,1.0067755997865636e-05
something,available,1,1.0067755997865636e-05
something,behind,1,1.0067755997865636e-05
something,between,2,2.0135511995731273e-05
something,brett,1,1.0067755997865636e-05
something,by,1,1.0067755997865636e-05
something,cohn,1,1.0067755997865636e-05
something,doing,1,1.0067755997865636e-05
something,else,7,7.047429198505945e-05
something,fine,1,1.0067755997865636e-05
something,for,2,2.0135511995731273e-05
something,frightfully,1,1.0067755997865636e-05
something,funny,2,2.0135511995731273e-05
something,i,3,3.0203267993596907e-05
something,ironical,1,1.0067755997865636e-05
something,is,1,1.0067755997865636e-05
something,jake,1,1.0067755997865636e-05
something,lewd,1,1.0067755997865636e-05
something,like,1,1.0067755997865636e-05
something,mike,1,1.0067755997865636e-05
something,more,1,1.0067755997865636e-05
something,of,1,1.0067755997865636e-05
something,or,3,3.0203267993596907e-05
something,particularly,1,1.0067755997865636e-05
something,pitiful,1,1.0067755997865636e-05
something,put,1,1.0067755997865636e-05
something,repeated,1,1.0067755997865636e-05
something,robert,1,1.0067755997865636e-05
something,seemed,1,1.0067755997865636e-05
something,shameful,1,1.0067755997865636e-05
something,that,4,4.0271023991462545e-05
something,the,1,1.0067755997865636e-05
something,to,5,5.0338779989328176e-05
sometime,</s>,1,1.0067755997865636e-05
sometimes,</s>,4,4.0271023991462545e-05
sometimes,big,1,1.0067755997865636e-05
sometimes,bill,1,1.0067755997865636e-05
sometimes,brett,1,1.0067755997865636e-05
sometimes,he,2,2.0135511995731273e-05
sometimes,it,1,1.0067755997865636e-05
sometimes,my,1,1.0067755997865636e-05
sometimes,they,2,2.0135511995731273e-05
somewhere,</s>,2,2.0135511995731273e-05
somewhere,and,1,1.0067755997865636e-05
somewhere,else,1,1.0067755997865636e-05
somewhere,on,1,1.0067755997865636e-05
somewhere,or,1,1.0067755997865636e-05
sommelier,</s>,1,1.0067755997865636e-05
sommelier,brought,1,1.0067755997865636e-05
son,</s>,1,1.0067755997865636e-05
son,hubert,1,1.0067755997865636e-05
son,were,1,1.0067755997865636e-05
song,</s>,1,1.0067755997865636e-05
song,ended,1,1.0067755997865636e-05
sonhe,pointed,1,1.0067755997865636e-05
soon,</s>,1,1.0067755997865636e-05
soon,after,1,1.0067755997865636e-05
soon,as,8,8.054204798292509e-05
soon,enough,1,1.0067755997865636e-05
sooner,the,1,1.0067755997865636e-05
sooner,we,1,1.0067755997865636e-05
sorbonne,</s>,1,1.0067755997865636e-05
sore,</s>,6,6.0406535987193814e-05
sore,are,1,1.0067755997865636e-05
sore,at,2,2.0135511995731273e-05
sore,cohn,1,1.0067755997865636e-05
sore,for,1,1.0067755997865636e-05
sore,i,2,2.0135511995731273e-05
sore,on,1,1.0067755997865636e-05
sorry,</s>,3,3.0203267993596907e-05
sorry,about,1,1.0067755997865636e-05
sorry,as,1,1.0067755997865636e-05
sorry,fella,1,1.0067755997865636e-05
sorry,for,3,3.0203267993596907e-05
sorry,i,2,2.0135511995731273e-05
sorry,jake,1,1.0067755997865636e-05
sorry,mike,1,1.0067755997865636e-05
sorry,to,1,1.0067755997865636e-05
sorry,when,1,1.0067755997865636e-05
sorry,you,1,1.0067755997865636e-05
sort,</s>,1,1.0067755997865636e-05
sort,and,2,2.0135511995731273e-05
sort,of,26,0.0002617616559445065
sorted,out,1,1.0067755997865636e-05
sorts,of,1,1.0067755997865636e-05
sou,to,1,1.0067755997865636e-05
soufflot,for,1,1.0067755997865636e-05
sound,</s>,1,1.0067755997865636e-05
sound,against,1,1.0067755997865636e-05
sound,as,1,1.0067755997865636e-05
sound,basis,1,1.0067755997865636e-05
sound,of,2,2.0135511995731273e-05
sounded,and,1,1.0067755997865636e-05
sounded,he,1,1.0067755997865636e-05
sounding,hollow,1,1.0067755997865636e-05
sounds,like,4,4.0271023991462545e-05
soup,and,1,1.0067755997865636e-05
soup,bill,1,1.0067755997865636e-05
source,said,1,1.0067755997865636e-05
south,</s>,1,1.0067755997865636e-05
south,all,1,1.0067755997865636e-05
south,america,9,9.060980398079073e-05
south,americans,2,2.0135511995731273e-05
south,of,1,1.0067755997865636e-05
south,past,1,1.0067755997865636e-05
souvenir,</s>,1,1.0067755997865636e-05
space,and,1,1.0067755997865636e-05
space,of,1,1.0067755997865636e-05
spaced,as,1,1.0067755997865636e-05
spain,</s>,9,9.060980398079073e-05
spain,and,2,2.0135511995731273e-05
spain,had,1,1.0067755997865636e-05
spain,in,1,1.0067755997865636e-05
spain,the,2,2.0135511995731273e-05
spain,to,1,1.0067755997865636e-05
spain,was,1,1.0067755997865636e-05
spain,we,1,1.0067755997865636e-05
spain,you,1,1.0067755997865636e-05
spaniards,shouted,1,1.0067755997865636e-05
spaniards,they,1,1.0067755997865636e-05
spanish,</s>,8,8.054204798292509e-05
spanish,and,3,3.0203267993596907e-05
spanish,better,1,1.0067755997865636e-05
spanish,carabineers,1,1.0067755997865636e-05
spanish,children,1,1.0067755997865636e-05
spanish,churches,1,1.0067755997865636e-05
spanish,fiesta,1,1.0067755997865636e-05
spanish,frontier,1,1.0067755997865636e-05
spanish,or,1,1.0067755997865636e-05
spanish,paper,1,1.0067755997865636e-05
spanish,quite,1,1.0067755997865636e-05
spanish,to,1,1.0067755997865636e-05
spanish,town,1,1.0067755997865636e-05
spanish,waiter,1,1.0067755997865636e-05
spanish,was,1,1.0067755997865636e-05
spanish,word,2,2.0135511995731273e-05
spat,in,1,1.0067755997865636e-05
spat,the,1,1.0067755997865636e-05
spatted,on,1,1.0067755997865636e-05
speak,of,1,1.0067755997865636e-05
speak,perfectly,1,1.0067755997865636e-05
speak,to,1,1.0067755997865636e-05
speak,with,1,1.0067755997865636e-05
speaking,french,1,1.0067755997865636e-05
speaking,to,1,1.0067755997865636e-05
speaks,english,1,1.0067755997865636e-05
speaks,german,1,1.0067755997865636e-05
special,secret,1,1.0067755997865636e-05
special,trains,1,1.0067755997865636e-05
specialist,and,1,1.0067755997865636e-05
species,of,1,1.0067755997865636e-05
spectacle,</s>,2,2.0135511995731273e-05
spectacle,with,1,1.0067755997865636e-05
spectacles,</s>,3,3.0203267993596907e-05
spectacles,talked,1,1.0067755997865636e-05
spectacles,wiped,1,1.0067755997865636e-05
speech,</s>,4,4.0271023991462545e-05
speech,or,1,1.0067755997865636e-05
spell,of,1,1.0067755997865636e-05
spelling,out,1,1.0067755997865636e-05
spend,a,1,1.0067755997865636e-05
spend,all,2,2.0135511995731273e-05
spend,the,1,1.0067755997865636e-05
spender,bill,1,1.0067755997865636e-05
spends,a,1,1.0067755997865636e-05
spent,a,1,1.0067755997865636e-05
spent,all,1,1.0067755997865636e-05
spent,in,1,1.0067755997865636e-05
spent,on,1,1.0067755997865636e-05
spent,the,1,1.0067755997865636e-05
spider,kelly,3,3.0203267993596907e-05
spider,kellys,1,1.0067755997865636e-05
spider,promptly,1,1.0067755997865636e-05
spilled,some,1,1.0067755997865636e-05
spilling,open,1,1.0067755997865636e-05
spirit,but,1,1.0067755997865636e-05
spiritual,examination,1,1.0067755997865636e-05
splendid,</s>,3,3.0203267993596907e-05
splendid,beach,1,1.0067755997865636e-05
splendid,brett,2,2.0135511995731273e-05
splendid,chap,1,1.0067755997865636e-05
splendid,imaginary,1,1.0067755997865636e-05
splendid,nigger,1,1.0067755997865636e-05
splendid,one,1,1.0067755997865636e-05
splendid,party,1,1.0067755997865636e-05
splendid,you,1,1.0067755997865636e-05
splendidly,but,1,1.0067755997865636e-05
split,by,1,1.0067755997865636e-05
spoil,the,4,4.0271023991462545e-05
spoiled,by,1,1.0067755997865636e-05
spoke,french,1,1.0067755997865636e-05
spoke,in,2,2.0135511995731273e-05
spoke,to,2,2.0135511995731273e-05
spoken,languagethe,1,1.0067755997865636e-05
spoken,of,1,1.0067755997865636e-05
spoon,in,1,1.0067755997865636e-05
sport,</s>,1,1.0067755997865636e-05
sport,clothes,2,2.0135511995731273e-05
sport,in,1,1.0067755997865636e-05
sportif,country,1,1.0067755997865636e-05
sportif,every,1,1.0067755997865636e-05
sportif,in,1,1.0067755997865636e-05
sporting,evening,1,1.0067755997865636e-05
sporting,event,1,1.0067755997865636e-05
sporting,life,1,1.0067755997865636e-05
sportive,</s>,1,1.0067755997865636e-05
sportsman,wrote,1,1.0067755997865636e-05
sportsmans,sketches,1,1.0067755997865636e-05
sportsmen,a,1,1.0067755997865636e-05
spotted,the,1,1.0067755997865636e-05
spouts,in,1,1.0067755997865636e-05
spraddled,and,1,1.0067755997865636e-05
spread,a,1,1.0067755997865636e-05
spread,his,1,1.0067755997865636e-05
spread,it,3,3.0203267993596907e-05
spread,out,1,1.0067755997865636e-05
spread,the,4,4.0271023991462545e-05
spread,them,1,1.0067755997865636e-05
spreading,down,1,1.0067755997865636e-05
spreading,their,1,1.0067755997865636e-05
spring,and,2,2.0135511995731273e-05
spring,flowed,1,1.0067755997865636e-05
spring,night,1,1.0067755997865636e-05
spring,up,1,1.0067755997865636e-05
spring,was,1,1.0067755997865636e-05
sprinkled,</s>,1,1.0067755997865636e-05
sprinkled,and,1,1.0067755997865636e-05
sprinkled,the,1,1.0067755997865636e-05
sprinkling,the,1,1.0067755997865636e-05
sprinkling,them,1,1.0067755997865636e-05
sprinted,out,1,1.0067755997865636e-05
spurs,and,1,1.0067755997865636e-05
spurt,out,1,1.0067755997865636e-05
sputtering,and,1,1.0067755997865636e-05
square,</s>,23,0.00023155838795090963
square,a,1,1.0067755997865636e-05
square,along,1,1.0067755997865636e-05
square,and,9,9.060980398079073e-05
square,by,1,1.0067755997865636e-05
square,except,1,1.0067755997865636e-05
square,from,1,1.0067755997865636e-05
square,hung,1,1.0067755997865636e-05
square,hurrying,1,1.0067755997865636e-05
square,i,1,1.0067755997865636e-05
square,it,1,1.0067755997865636e-05
square,solid,1,1.0067755997865636e-05
square,that,1,1.0067755997865636e-05
square,the,3,3.0203267993596907e-05
square,then,1,1.0067755997865636e-05
square,there,1,1.0067755997865636e-05
square,to,2,2.0135511995731273e-05
square,toward,1,1.0067755997865636e-05
square,walking,1,1.0067755997865636e-05
square,was,5,5.0338779989328176e-05
square,we,1,1.0067755997865636e-05
square,were,2,2.0135511995731273e-05
square,when,1,1.0067755997865636e-05
square,where,2,2.0135511995731273e-05
square,while,1,1.0067755997865636e-05
square,with,1,1.0067755997865636e-05
squared,on,1,1.0067755997865636e-05
squared,timbers,1,1.0067755997865636e-05
squarely,in,1,1.0067755997865636e-05
squares,of,1,1.0067755997865636e-05
squatting,against,1,1.0067755997865636e-05
squeezed,it,1,1.0067755997865636e-05
squeezing,the,1,1.0067755997865636e-05
st,</s>,6,6.0406535987193814e-05
stacked,my,1,1.0067755997865636e-05
stacked,with,1,1.0067755997865636e-05
stacking,the,1,1.0067755997865636e-05
staff,and,1,1.0067755997865636e-05
staffs,and,1,1.0067755997865636e-05
stage,i,1,1.0067755997865636e-05
stage,of,1,1.0067755997865636e-05
staged,in,1,1.0067755997865636e-05
staggered,over,1,1.0067755997865636e-05
stained,red,1,1.0067755997865636e-05
stairs,</s>,19,0.00019128736395944708
stairs,and,16,0.00016108409596585018
stairs,as,1,1.0067755997865636e-05
stairs,at,1,1.0067755997865636e-05
stairs,carrying,2,2.0135511995731273e-05
stairs,dining,3,3.0203267993596907e-05
stairs,i,2,2.0135511995731273e-05
stairs,in,4,4.0271023991462545e-05
stairs,into,1,1.0067755997865636e-05
stairs,laughing,1,1.0067755997865636e-05
stairs,on,2,2.0135511995731273e-05
stairs,over,1,1.0067755997865636e-05
stairs,so,1,1.0067755997865636e-05
stairs,the,2,2.0135511995731273e-05
stairs,to,3,3.0203267993596907e-05
stairs,took,1,1.0067755997865636e-05
stairs,we,3,3.0203267993596907e-05
stairs,with,2,2.0135511995731273e-05
stakes,than,1,1.0067755997865636e-05
stamped,on,1,1.0067755997865636e-05
stand,and,1,1.0067755997865636e-05
stand,here,1,1.0067755997865636e-05
stand,him,1,1.0067755997865636e-05
stand,it,12,0.00012081307197438763
stand,on,1,1.0067755997865636e-05
stand,to,1,1.0067755997865636e-05
stand,up,2,2.0135511995731273e-05
standards,have,1,1.0067755997865636e-05
standing,</s>,1,1.0067755997865636e-05
standing,above,1,1.0067755997865636e-05
standing,among,1,1.0067755997865636e-05
standing,around,1,1.0067755997865636e-05
standing,at,5,5.0338779989328176e-05
standing,behind,1,1.0067755997865636e-05
standing,beside,1,1.0067755997865636e-05
standing,bus,1,1.0067755997865636e-05
standing,by,1,1.0067755997865636e-05
standing,in,6,6.0406535987193814e-05
standing,looking,1,1.0067755997865636e-05
standing,on,6,6.0406535987193814e-05
standing,one,1,1.0067755997865636e-05
standing,out,2,2.0135511995731273e-05
standing,outside,1,1.0067755997865636e-05
standing,over,1,1.0067755997865636e-05
standing,squarely,1,1.0067755997865636e-05
standing,straight,1,1.0067755997865636e-05
standing,talking,1,1.0067755997865636e-05
standing,their,1,1.0067755997865636e-05
standing,there,1,1.0067755997865636e-05
standing,under,1,1.0067755997865636e-05
standing,up,3,3.0203267993596907e-05
standing,with,1,1.0067755997865636e-05
stands,and,2,2.0135511995731273e-05
stands,filled,1,1.0067755997865636e-05
stands,of,1,1.0067755997865636e-05
star,pupil,1,1.0067755997865636e-05
stared,</s>,1,1.0067755997865636e-05
stared,at,1,1.0067755997865636e-05
stared,straight,1,1.0067755997865636e-05
staring,at,2,2.0135511995731273e-05
stars,of,1,1.0067755997865636e-05
start,</s>,7,7.047429198505945e-05
start,bill,1,1.0067755997865636e-05
start,brett,1,1.0067755997865636e-05
start,fishing,1,1.0067755997865636e-05
start,for,1,1.0067755997865636e-05
start,from,1,1.0067755997865636e-05
start,him,1,1.0067755997865636e-05
start,i,1,1.0067755997865636e-05
start,in,1,1.0067755997865636e-05
start,ing,1,1.0067755997865636e-05
start,living,1,1.0067755997865636e-05
start,now,3,3.0203267993596907e-05
start,off,1,1.0067755997865636e-05
start,on,2,2.0135511995731273e-05
start,out,1,1.0067755997865636e-05
start,proselyting,1,1.0067755997865636e-05
